code,title,description,credits,department,level,prereqs
AAD 1004,"Exploring Architecture, Arts, and Design","First-Year Experience course for Explore AAD majors. Overview of the college and its degrees, majors and minors, and career opportunities available to CAUS graduates. Presents college and university resources and services that support student success. Introduces students to the basic principles of the research process by focusing on inquiry, problem-solving, and integration of ideas and experiences within the fields in the College of Architecture, Arts, and Design.",2,"Architecture, Arts, and Design",1000,
AAD 1204,Thinking Globally,Seminar for first-year students enrolled in Rhizome Living-Learning Community. Introduction to history and theory of sustainable design in a global context. Investigations of works of sustainable design. Introduction to history and aims of United Nations Sustainable Development Goals (SDGS).,1,"Architecture, Arts, and Design",1000,
AAD 1214,Acting Locally,"Course for first-year students enrolled in Rhizome Living-Learning Community. Project-based learning through student-client collaborations. Applies design history concepts and United Nations Sustainable Development Goals. Integrate diverse community perspectives. Introduces design thinking as a model for problem solving, including problem definition and iteration. Student presentations, proposal development, exhibition, client feedback and peer critiques.",2,"Architecture, Arts, and Design",1000,AAD 1204
AAD 3900,Bridge Experience,"Application of academic knowledge and skills to in a work-based experience aligned with post-graduation goals using research-based learning processes. Satisfactory completion of work-based experience often in the form of internship, undergraduate research, co-op, or study abroad; self-evaluation; reflection; and showcase of learning. Pre: Departmental approval of 3900 plan.",0,"Architecture, Arts, and Design",3000,
AAD 4234,Capstone Collaborations: Cross-Disciplinary Teams,"Collaborative cross-disciplinary research teams support discipline-specific capstones. Analyzes the interactive relationships between place, space, identity, and community in the United States and beyond. Engages in iterative research processes through reflective teamwork addressing complex problems in senior capstone projects. Synthesizes multiple, complex sources and creates coherent arguments including ethical analyses.",3,"Architecture, Arts, and Design",4000,ENGE 2094 and PHIL 3334
AAEC 1005,Economics of the Food and Fiber System,"1005: How the individual economic actor makes rational choices as: consumer, producer, firm/farm, saver, investor, employee, employer, manager, trader. Economic principles that underlie exchange in business, government and household transactions. Utility maximization in the U.S. and global food and fiber system under conditions of scarcity. Evaluation of policy issues important to society. 1006: Overview of economic systems: capitalism versus communism, socialism, feudalism, mercantilism. Interrelationships of U.S. economic fiscal and monetary institutions and policies regarding agricultural productivity, business vitality, sustainable development, and human capital formation. Affordability, safety and security of food and fiber, cultural dynamics, consumer welfare, industrial profitability, natural resources conservation, rural economic infrastructure, international trade, and social justice.",3,Agricultural and Applied Econo,1000,
AAEC 1006,Economics of the Food and Fiber System,"1005: How the individual economic actor makes rational choices as: consumer, producer, firm/farm, saver, investor, employee, employer, manager, trader. Economic principles that underlie exchange in business, government and household transactions. Utility maximization in the U.S. and global food and fiber system under conditions of scarcity. Evaluation of policy issues important to society. 1006: Overview of economic systems: capitalism versus communism, socialism, feudalism, mercantilism. Interrelationships of U.S. economic fiscal and monetary institutions and policies regarding agricultural productivity, business vitality, sustainable development, and human capital formation. Affordability, safety and security of food and fiber, cultural dynamics, consumer welfare, industrial profitability, natural resources conservation, rural economic infrastructure, international trade, and social justice.",3,Agricultural and Applied Econo,1000,
AAEC 2014,Decision Analytics for the Life Sciences,"Data handling, visualization, and reporting techniques for data-driven decision-making. Excel skills and analytical tools through practical, problem-solving scenarios. Data input, fundamental formulas, linking spreadsheets, data cleaning, and creating tables and graphs for effective data presentation. Ethical considerations in data collection, analysis, and dissemination.",3,Agricultural and Applied Econo,2000,
AAEC 2104,Personal Financial Planning,"Survey of fundamental personal financial planning needs and decisions of young professionals. Introduction to the personal financial planning needs that special household circumstances or non-traditional household situations may precipitate. Application of cash, credit, and debt management principles to household scenarios. Completion of federal income tax forms for individuals. Managing the household’s risk exposure. Introduction to investment decisions, particularly related to retirement accounts. Overview of basic estate planning tools and principles. Discussion of the ethical issues related to financial products and decisions.",3,Agricultural and Applied Econo,2000,
AAEC 2434,Foundations of Agribusiness,Introduction to the primary management tools as they relate to farm production enterprises and agribusinesses. Principles and concepts of preparing farm and agribusiness financial statements and their analysis. Application of budgeting and risk management.,3,Agricultural and Applied Econo,2000,AAEC 1005
AAEC 3004,Agricultural Production and Consumption Economics,The economic principles of production. Applications to decision-making and the allocation of resources for the agricultural firm. Consumer behavior and demand for agricultural products.,3,Agricultural and Applied Econo,3000,( AAEC 1005 or ECON 2005 ) and ( MATH 1025 or MATH 1225 )
AAEC 3014,Analytical Methods in Applied Economics,"Quantitative methods used in applied empirical economic analysis including simple and multiple regression, estimation and application of elasticity, decision analysis, economic simulations, linear programming, and risk analysis. Analysis using spreadsheets stressed.",3,Agricultural and Applied Econo,3000,STAT 3005 or BIT 2405 or STAT 3615
AAEC 3015,Internship in Agricultural and Applied Economics,"Preparation for, and follow-up to, a practical experience in a selected agricultural, resource, or governmental enterprise, which takes place under the direct supervision of an owner, manager, or supervisor. 3015: offers the student a broad management horizon on understanding the value and the process of setting goals and objectives, and provides methods for evaluating ones abilities, interests, and desires for making career-path choices. 3016: provides a forum for students to share work experiences, discuss human resource issues, and apply the problem solving process to a problem or concern witnessed during the internship.",1,Agricultural and Applied Econo,3000,
AAEC 3024,Monetary and Global Issues in Applied Economics,"Economics of an open economy and its impact on agricultural and natural resource markets. History of the monetary system, national accounts, balance of payments, fiscal and monetary policy, foreign exchange determinants, trade deficits, international finance, globalization and economic growth. Linkages to agricultural policy and commodity markets stressed.",3,Agricultural and Applied Econo,3000,AAEC 1005 and AAEC 1006
AAEC 3204,International Agricultural Development and Trade,"Examination of the role of agriculture in less developed countries and how that role is affected by public policies. Dimensions of world food, population, and income problems; theories of economic development and the role of agriculture; traditional agricultural systems and their evolution; agricultural modernization strategies; interactions among natural resources, biofuels, food prices, and sustainable agriculture; the impacts of international trade and aid; and the effects of international development on U.S. agriculture.",3,Agricultural and Applied Econo,3000,AAEC 1005 or ECON 2005
AAEC 3314,Environmental Law,"Principles of law involved in environmental issues, survey of environmental litigation, legislation and administrative rulings. Law topics include natural resources, water pollution, private land use, air pollution, toxic substance, food, drug, pesticides, and biotechnology.",3,Agricultural and Applied Econo,3000,
AAEC 3324,Environment and Sustainable Development Economics,"Sustainable development through an exploration of hard and soft green schools of thought. Hard Green Strategies – reliance on markets, technology, property rights, human ingenuity to increase production efficiency versus Soft Green Strategies-adoption of simpler lifestyles, government subsidies, natural design of buildings (biomimicry), and urban infrastructure to locate public transportation hubs nearest to densely populated neighborhoods to decrease consumption of natural resources. Connecting the influence of place in personal and group identity. Interdisciplinary examination of environmental justice among poor and minority U.S. communities. Social equity distribution of the economic costs and benefits of natural resources management policies. Roles of property rights, economic incentives, religious values, and political power in determining local communities’ capacity to control their environmental destiny.",3,Agricultural and Applied Econo,3000,AAEC 1005 or AAEC 1006 or ECON 2005
AAEC 3424,Value-Based Management in Agribusiness,"Focus on finance concepts in the agricultural and environmental sectors. Apply the value-based management principles and financial analysis to industry-related cases. Estimate cost of capital, free cash flow and net present value. Team-based approach on a real-world valuation case.",3,Agricultural and Applied Econo,3000,AAEC 1005 and AAEC 1006 and ACIS 2115
AAEC 3434,Commodity Market and Price Analysis,"The fundamentals of commodity price analysis and investing with an emphasis on agricultural, energy, and metal commodities. Training program for new Commodity Investing by Students (COINS) members including fundamental and technical analysis for commodity futures and developing a trade proposal.",3,Agricultural and Applied Econo,3000,
AAEC 3444,"Cooperatives: Empowering Individuals, Communities, & Society","The unique cooperative organizational form, including history, principles, and legal, financing, and management issues, with a focus on the cooperative principle of concern for community. Both agricultural (supply, marketing and service cooperatives) and non-agricultural (including grocery, electric, financial, housing, childcare, healthcare) cooperatives, with special attention to their empowerment of individuals, communities, and society at large. Opportunities for participation in community engagement through cooperative membership. Ethical human behavior within the cooperative model and how cooperatives can help address ethical issues.",3,Agricultural and Applied Econo,3000,
AAEC 3454,Small Business Management and Entrepreneurship,"Characteristics of small business and entrepreneurs, and their economic importance. Development and operation of a small business, including concepts and principles such as franchising, business plans, capital acquisition, venture capital, financial and administrative control, marketing, human resource and operations management. Taxation, legal, insurance and ethics in small business.",3,Agricultural and Applied Econo,3000,AAEC 2434 or ACIS 2115 or MGT 2064
AAEC 3504,Agricultural Marketing Channels: From Farm to Plate,"Focus on the economics of the U.S. and Virginia agricultural and food marketing system; agricultural commodity marketing channels from farm gate to consumers’ plates; how prices, consumer tastes and preferences, government regulations, and international competition influence agricultural marketing channels; consumers' responses to food prices; the organization and market structure of the processors, wholesalers, retailers, and food services; alternative food marketing outlets; contracts, vertical integration; ﬁrms' market power and antitrust behavior in agricultural markets; and developing commodity marketing channel analyses.",3,Agricultural and Applied Econo,3000,AAEC 1005 and AAEC 1006
AAEC 3514,Agricultural Futures and Options,The role of agricultural futures and options in risk management strategies for producers and agribusiness firms and in the price discovery process. Fundamental supply-demand and technical analysis of the markets and pricing processes. Development and applications of effective price risk management strategies.,3,Agricultural and Applied Econo,3000,AAEC 1005 and AAEC 1006 and AAEC 2434
AAEC 3604,Agricultural Law,"Legal problems of farm and agribusiness management. Practical application of principles of contracts, negligence, debt instruments and commercial transactions of the farm and agribusiness organization. Selected state and federal laws regulating the farm and agribusiness sector; basic animal laws including state and federal regulation of agricultural sector.",3,Agricultural and Applied Econo,3000,
AAEC 3900,Bridge Experience,"Application of academic knowledge and skills to in a work-based experience aligned with post-graduation goals using research-based learning processes. Satisfactory completion of work-based experience often in the form of internship, undergraduate research, co-op, or study abroad; self-evaluation; reflection; and showcase of learning. Pre: Departmental approval of 3900 plan.",0,Agricultural and Applied Econo,3000,
AAEC 4135,International Economics,"4135 International Trade: Factor mobility and commercial policy (tariffs, quotas, export licensing). 4136 International Finance: Liquidity, exchange rates, comparative international living standards, foreign aid.",3,Agricultural and Applied Econo,4000,ECON 3104
AAEC 4136,International Economics,"4135: International Trade: Factor mobility and commercial policy (tariffs, quotas, export licensing). 4136: International Finance: Liquidity, exchange rates, comparative international living standards, foreign aid.",3,Agricultural and Applied Econo,4000,
AAEC 4204,Food and Agricultural Policy,"Examination of the role of agriculture in developed economies and how agriculture is affected by policy decisions in the public sector. Emphasis will be placed on the economic impacts of policies on the producers and consumers of agricultural products: price supports, food stamps, tariffs and quotas.",3,Agricultural and Applied Econo,4000,AAEC 1005 and AAEC 1006
AAEC 4314,Environmental Economic Analysis and Management,"Quantitative methods and computer-aided tools used in the economic analysis of environmental/natural resource issues. Economic concepts and analytical tools will be applied to realistic, problem-solving situations. Topics include cost effectiveness analysis, benefit-cost analysis, economic simulations, and statistical analysis.",3,Agricultural and Applied Econo,4000,AAEC 3324 or ECON 4014 or FREC 4014
AAEC 4324,Rural and Regional Development Policy,"Description of rural areas, their economic structure, and conditions for broad-based economic development. Emphasis on the role of markets in the development process. Introduction to tools to evaluate policies and programs, identify distributional impacts, identify appropriateness for long-term sustainable development, and analyze tradeoffs between policy goals. Alternatives to public financing in rural areas.",3,Agricultural and Applied Econo,4000,AAEC 1005 and AAEC 3004
AAEC 4334,Applications Rural Development,"Evaluation of policy alternatives and programs for the development of rural areas. Intensive use of analytical techniques, including spreadsheet analysis of trends and changes over time, shift-share analysis of economic change, creation of indices of distribution and poverty for rural areas, creation and use of economic base multipliers, construction, use and interpretation of input-output models.",1,Agricultural and Applied Econo,4000,AAEC 1005 and AAEC 3004
AAEC 4354,Energy Economics,"Theoretical and quantitative economic analyses of individual, regional, and global demand and supply of renewable and nonrenewable energy. Markets examined include solar, wind, oil, natural gas, electricity, and nuclear. Policies reviewed include those used to regulate energy prices, tax carbon emissions, and promote technology adoption. Countries studied include the U.S., Europe, and Asia, encompassing both developed and developing nations. Pre: Junior Standing.",3,Agricultural and Applied Econo,4000,AAEC 1005 or AAEC 1006 or ECON 2005 or ECON 2006 or MATH 1025 or MATH 1225
AAEC 4404,Agricultural Management and Problem-solving,"Capstone course for students interested in agribusiness management. Application of concepts, tools, and principles including management, finance, marketing, economic theory, and quantitative methods to applied agricultural decisions. Application of knowledge on selected agricultural projects that enhance team-building, written, and oral communication skills. Senior Standing required.",3,Agricultural and Applied Econo,4000,AAEC 2434
AAEC 4414,Applied Economic Problem-Solving,"Application of economic training and skillsets to real-world needs identified by clientele. Team problem-solving of financial, marketing, production, legal and regulatory, and human resources issues unique to the agriculture sector. Facilitated experiential learning environment focused on student-motivated solutions to economic risk management. This course may be repeated once.",3,Agricultural and Applied Econo,4000,AAEC 1005
AAEC 4424,Ag Financial Management,"Principles and concepts of preparing agricultural financial statements. Analysis of these statements following professional farm financial guidelines. Economic concepts applied to management of agricultural enterprises. Leasing, purchasing, borrowing, and lending decisions in agriculture. Agricultural applications of budget, risk management and mitigation, and loan structuring.",3,Agricultural and Applied Econo,4000,AAEC 1005 and AAEC 2434 and ( FIN 3104 or AAEC 3424 )
AAEC 4434,Commodity Investing by Students,"Students make real world investment decisions in agricultural and energy commodities, execute trades, evaluate their performance and report to the VT Foundation. This student-run organization provides leadership opportunities as well as collaboration and networking experiences. Restricted to COINS members. May be repeated with different content up to 8 credit hours. This course is Pass/Fail.",2,Agricultural and Applied Econo,4000,AAEC 4504
AAEC 4464,Water Resources Policy and Economics,"Economic theory and methods to explain water use decisions. Efficiency, equity, and ethical considerations in U.S. water policy. Analysis of water markets, climate change, and environmental flows from diverse stakeholder perspectives.",3,Agricultural and Applied Econo,4000,AAEC 1005 or ECON 2005
AAEC 4484,Applied Economic Forecasting,"Forecasting economic, agricultural and environmental data using basic linear and non-linear time series models. Programming and computational implementation of time series forecasting model selection techniques and practical applications.",3,Agricultural and Applied Econo,4000,( AAEC 1005 or AAEC 1006 ) and ( STAT 3005 or STAT 3604 or STAT 3615 or BIT 2405 )
AAEC 4504,Agricultural Price and Market Analysis,"Estimation of agricultural supply, demand, and price relationships. Determination of market potential for new products. Students identify problem, collect data, estimate statistical relationship(s), interpret results, and write research report. Use of probability distribution in marketing strategy development.",3,Agricultural and Applied Econo,4000,AAEC 3004 and STAT 3005 or STAT 3615 or BIT 2405
AAEC 4514,Advanced Agribusiness Marketing,"Applying concepts, principles, and analytical tools in developing a marketing plan for an existing or new agricultural product or service. Students will define the market, perform competitive marketing analysis, outline market assumptions and objectives, and perform a three-year financial evaluation of the action plan. Course can be repeated once.",1,Agricultural and Applied Econo,4000,AAEC 2434 and AAEC 3504
AAEC 4804,Elementary Econometrics,"Economic applications of mathematical and statistical techniques: regression, estimators, hypothesis testing, lagged variables, discrete variables, violations of assumptions, simultaneous equations.",3,Agricultural and Applied Econo,4000,AAEC 1005 and ( STAT 3615 or STAT 3005 or STAT 3604 or BIT 2405 )
AAEC 4814,Food and Health Economics,"Microeconomics of food, nutrition, and health. Overview of nutrition, nutrition recommendations, and implications for economics based decisions. Individual and household food consumption and health production models. Farm to consumer market linkage models with nutrition and health implications Effectiveness of food and nutrition interventions and policies. Cost-benefit and cost-effectiveness analysis of health interventions. Pre: Senior Standing required.",3,Agricultural and Applied Econo,4000,
AAEC 5004,Seminar,"Formal presentation and discussion of current problems, programs, and research studies in agricultural economics. Presentations and discussions. Repeatable for credit.",1,Agricultural and Applied Econo,5000,
AAEC 5014,Applied Economic Analytics,"Mathematical and statistical methods used in applied economic decision making. Applied mathematical optimization, statistical simulation, data visualization, probability theory and linear econometric models to economic, agricultural, and environmental data and problems. Extensive application of quantitative models and modern programming platforms used in applied economic analysis. Pre: Graduate Standing.",3,Agricultural and Applied Econo,5000,
AAEC 5025,Applied Microeconomics,"Basic economic theory of food and fiber production, food and fiber consumption, agricultural markets, and social welfare as influenced by the agricultural sector. Major emphasis placed on application of theory to current agricultural and resource problems.",3,Agricultural and Applied Econo,5000,
AAEC 5026,Applied Microeconomics,"Basic economic theory of food and fiber production, food and fiber consumption, agricultural markets, and social welfare as influenced by the agricultural sector. Major emphasis placed on application of theory to current agricultural and resource problems.",3,Agricultural and Applied Econo,5000,MATH 1526 and ECON 3004 and ECON 3104
AAEC 5034,Agribusiness Marketing Policy and Business Strategies,"Marketing tools needed to identify and solve the complexity of marketing food and agribusiness products. Contemporary trends, marketing strategies, and problems in the food and agribusiness sector. Pre: Understanding of introductory microeconomic theory. Graduate standing required.",3,Agricultural and Applied Econo,5000,
AAEC 5044,Applied Macroeconomics,"Nature and linkages between agriculture, natural resources, and macroeconomic variables. Theories and methods used to establish and quantify these linkages. Macroeconomic models to measure the effect of national output, unemployment, interest rates, economic growth, exchange rates, and allocation and distribution of resources on the agricultural sector, the environment, and the international economy. Pre: Graduate standing.",3,Agricultural and Applied Econo,5000,
AAEC 5054,Strategic Agribusiness Management,"Application of economic theory to operational and strategic decision-making in agribusiness. Analysis and application of the functions of management. Problem recognition and economic analysis of supply chain, marketing, financial, production, and human resource decisions facing agribusiness firms. Assessment of U.S. role in the international marketplace. Pre: Graduate Standing.",3,Agricultural and Applied Econo,5000,
AAEC 5064,Enviromental Economics & Policy,"Economic theory and methods applied to the analysis of environmental problems. Market failure, property rights, benefit cost analysis, ecosystem valuation, and economic evaluative criteria for environmental policy and the contribution of economic analysis to public policy formulation related to water quality, air quality, and climate change. Pre: Graduate standing.",3,Agricultural and Applied Econo,5000,
AAEC 5074,Agricultural and Food Policy,"Policy issues related to trade, farm bills, natural resource preservation, and food, nutrition, and health. Global forces impacting U.S. policy. Local, state, and national legislative process. Stakeholder influence on the policy-making process. Policy impacts on stakeholders. Pre: Graduate Standing.",3,Agricultural and Applied Econo,5000,
AAEC 5084,Contemporary Issues and Responses in Food Systems,"Economic analysis of food systems. Analysis of contemporary issues and responses in crop and animal production, food wholesaling, food processing, and food retailing. Economic incentives. Isolated, horizontally, vertically related markets and principal agent theory. Appropriate data and application determination. Directional impacts. Pre: Graduate Standing",3,Agricultural and Applied Econo,5000,
AAEC 5104,Research Project Plan,"Planning and executing a research project with emphasis on problem identification, formulation of hypothesis, choice of appropriate empirical technique and data sources.",1,Agricultural and Applied Econo,5000,
AAEC 5125,Empirical Research Methods in Economics,"Extensive treatment of new techniques for economic modeling. 5125: Probability and statistical inference, linear regression and related dynamic models, specification, estimation, misspecification, respecification, identification. 5126: Simultaneous equations, dynamic systems, time series, limited dependent variable models. Permission of the Director of the Graduate Studies required.",3,Agricultural and Applied Econo,5000,
AAEC 5126,Empirical Research Methods in Economics,"Extensive treatment of new techniques for economic modeling. 5125: Probability and statistical inference, linear regression and related dynamic models, specification, estimation, misspecification, respecification, identification. 5126: Simultaneous equations, dynamic systems, time series, limited dependent variable models. Permission of the Director of Graduate Studies required.",3,Agricultural and Applied Econo,5000,AAEC 5125
AAEC 5134,Agricultural Markets and Prices,"Commodity price analysis, including theoretical relationships, analytical techniques and practical applications. Empirical evaluation and forecasting approaches including time series, structural, balance sheet, futures-based and hedonic models. Pre: Graduate Standing.",3,Agricultural and Applied Econo,5000,
AAEC 5154,International Agricultural Development and Trade,"This course focuses on the role of agriculture in economic development and the effects of alternative trade policies and practices in less developed nations. Topics include agriculture in theories of development, population growth, migration, the economic organization of the peasant-household firm, technological change, institutional change, effects of trade restrictions, exchange rates, trade preferences, regional economic groupings, food aid, trade negotiations, agricultural sector marketing, and project analysis.",3,Agricultural and Applied Econo,5000,ECON 3104
AAEC 5174,International Agricultural Development and Trade,"Agriculture in world economic development, agricultural modernization strategies, and the effects of trade policies and agreements on agriculture. Dimensions of world food, population, income, and natural resource issues; technological and institutional change; trade, capital flows, and foreign aid. Pre. Understanding of introductory microeconomic and macroeconomic theory. Graduate standing required.",3,Agricultural and Applied Econo,5000,
AAEC 5244,Rural Development,"Theory and methods related to economic development of rural America. Considers the roles of agriculture, resources, human capital, and federal, state and local governments in development processes. Outlines the constraints created by resource scarcity, location and government policy. Quantitative methods in resource development, regional development and impact analysis are introduced.",3,Agricultural and Applied Econo,5000,
AAEC 5424,Agribusiness Finance and Risk Management,"Introduction to corporate finance and risk management in agribusiness. Financial analysis, estimation of capital cost and valuation. Focus on risk management and Environmental and Social Governance (ESG) practices through case studies. Pre: Graduate Standing.",3,Agricultural and Applied Econo,5000,
AAEC 5484,Applied Economic Forecasting,"Forecasting economic, agricultural and environmental data using basic linear and non-linear time series models. Emphasis on programming and computational implementation of time series model-selection techniques and practical applications. Pre: Graduate Standing.",3,Agricultural and Applied Econo,5000,
AAEC 5544,Remote Sensing in the Social Sciences,"Principles on the use of remotely sensed (satellite) data in social science research, with key applications in environment, agriculture, and economic development. Basic scripting techniques to extract, visualize, and analyze satellite remote sensing data across the electromagnetic spectrum with cloud-based computing platforms. Development of social science research proposals using remotely sensed data and based on review of relevant seminal and current research articles. Pre: Graduate standing.",4,Agricultural and Applied Econo,5000,
AAEC 5804G,Fundamentals of Econometrics,"Introduction to economic applications of mathematical and statistical techniques: regression, estimators, hypothesis testing, lagged variables, discrete variables, violations of assumptions, simultaneous equations, instrumental variables, panel data methods. Graduate standing required.",3,Agricultural and Applied Econo,5000,
AAEC 5814G,Adv Food & Health Economics,"Microeconomics of food, nutrition, and health. Overview of nutrition, nutrition recommendations, and implications for economic based decisions. Individual and household food consumption and health production models. Farm to consumer market linkage models with nutrition and health implications. Effectiveness of food and nutrition interventions and policies. Cost-benefit and cost- effectiveness analysis of health interventions. Pre: Graduate standing.",3,Agricultural and Applied Econo,5000,
AAEC 5824,Advanced Applied Economic Analytics,"Advanced econometric analysis of problems in agricultural and applied economics. Modern techniques in Econometrics, machine learning, and data analytics including multiple regression, classification, instrumental variables, clustering, and regression trees. Pre: Graduate Standing.",3,Agricultural and Applied Econo,5000,
AAEC 5946,Econometric Theory and Practice,"An intensive coverage of the most important techniques of econometric estimation and hypothesis testing, addressing the use of both cross-section and time series data, A core sequence in the MA program in both locations. Prerequisite to the research-thesis seminar in Northern Virginia. I,II",3,Agricultural and Applied Econo,5000,AAEC 5126 or ECON 5126
AAEC 6004,Research Seminar and Professional Development,"Observation and discussion of research papers, presentation and interview skills, and job market package. May be repeated 7 times with different content for a maximum of 8 credit hours. Pre: Graduate Standing.",1,Agricultural and Applied Econo,6000,
AAEC 6214,Food and Health Microeconomics,Microeconomics of food and health. Overview of nutrition recommendations and implications for economic decisions. Individual and household food consumption and health production models. Farm to consumer market linkage models with nutrition and health implications.,3,Agricultural and Applied Econo,6000,AAEC 5126 and ECON 5006 and ECON 5016 and ECON 5124
AAEC 6244,Empirical Analysis of Markets and Policy,"Empirical research techniques in modern agricultural markets and agricultural policies; consumer demand analysis and models of agricultural supply, market structure, product differentiation, and economics of U.S. food policy using canonical approaches; tools and topics in dissertation research and applied Economics papers; referee reports, research proposals, and presentations in professional settings",3,Agricultural and Applied Econo,6000,AAEC 5125 and AAEC 5126
AAEC 6304,International Trade and Finance,"Core models in international trade and finance; current topics in international economics. Ricardian, Hecksher-Ohlin-Samuelson, Dynamic imperfect competition trade theories; Political economy of trade; Trade policy, Factor mobility, Uncertainty, and Intra-industry trade. Mundell-Fleming, Monetary, Real- and Imperfect competition- Micro-foundations theories of international macroeconomics; exchange rate determination; and capital markets. Extensions to monetary and fiscal policy, economic growth, and external debt analysis.",3,Agricultural and Applied Econo,6000,ECON 5005 and ECON 5015
AAEC 6314,Topics Applied Dev Econ,"Economic theories and empirical methods for measuring poverty, inequality, and vulnerability, and for targeting social programs. Topics include theory of the farm household and empirical methods to measure effects of public policies, interactions between the environment and development policy, methods for measuring technical change and its impacts, effect of social networks on technology adoption, and the role of microfinance in economic development.",3,Agricultural and Applied Econo,6000,ECON 5006 and ECON 5126
AAEC 6524,Env Theory & Policy Analysis,"Advanced coverage of the theory of environmental economics and policy. Topics covered in the course include: theory of externalities and public goods, theory behind policy instruments, issues with non-point source and transboundary pollution, and the role of the political economy for environmental problems.",4,Agricultural and Applied Econo,6000,ECON 5006
AAEC 6534,Economic Valuation of Environmental Change,"Economic theory, survey methods, and statistical tools to express environmental impacts in monetary terms. Market- and benefit-transfer-based methods and applications, including: coastal flood hazards, invasive species, wetland conservation, water quality, algae blooms, storm-related power outages, and others. Pre: Graduate standing.",3,Agricultural and Applied Econo,6000,
AAEC 6554,Panel Data Econometrics,"Introduction to major panel data techniques and modeling ideas currently employed (e.g., dynamic panel, panel for discrete choice model, treatment effect and program evaluations etc.), including both statistical theory derivations and practical applications.",3,Agricultural and Applied Econo,6000,(AAEC 5124 or ECON 5124 ) and AAEC 5126
AAEC 6564,Bayesian Econometric Analysis,"Bayesian estimation of economic models, with focus on Gibbs sampling, hierarchical modeling, data augmentation, and model search. Strong emphasis on programming and computational implementation.",3,Agricultural and Applied Econo,6000,AAEC 5126 or ECON 5126 or STAT 5304 or STAT 5444
ACIS 1004,Accounting Foundations,"Fundamentals of accounting, the language of business, including what accounting information is, how it is developed, how it is used and what it means. Financial Accounting including the application of accounting principles for real world, complex business transactions to classify these transactions, reflect their economic value, produce basic financial statements, evaluate financial position and make fundamental interpretations. Managerial Accounting including cost behaviors, budgeting and other management reporting to assist in internal decision making and performance analysis. Attention to accountants codes of ethics applied throughout. Emphasis placed on non-Business majors becoming informed users of accounting information. No credit will be given for ACIS 1004 if taken with or after ACIS 2115 or ACIS 2116 .",3,Accounting & Information Systems,1000,
ACIS 1104,Careers in Accounting and Information Systems,Overview of career options in the accounting field. Real life perspective from industry expert guest speakers. Career skills and training requirements. Job search strategies. Job search strategies. Job market analysis. Effective professional materials creation. Pass/Fail only.,1,Accounting & Information Systems,1000,
ACIS 1504,Introduction to Business Analytics and Business Intelligence,"Foundational data analytics using Microsoft Excel. Utilizes the data analytics framework and many Excel functions to address various business problems. Introduction to big datasets, how to navigate them, and the many complexities of using them, including relevant ethical issues. Identification and construction of various data visualizations and charts to be used in presentations.",3,Accounting & Information Systems,1000,
ACIS 2024,Small Business Accounting,"Accounting to support starting and operating a small business. Includes setting up accounting records, creating budgets, pricing products and services, tracking revenues and expenses, planning for taxes, and accounting for borrowing, inventory, payroll, and long-term assets. Emphasis on performance evaluation using mathematical models including financial statements, budget variance models, and financial ratios. Accounting presented in compliance with Generally Accepted Accounting Principles (GAAP) and accountant’s codes of ethics to support the prevention and detection of fraud.",3,Accounting & Information Systems,2000,
ACIS 2115,Principles of Accounting,"Introduction to financial and managerial accounting. 2115: Emphasis on the financial accounting cycle based on professional standards and ethics of US Generally Accepted Accounting Principles (GAAP). Discusses accounting information uses, fraud, and internal controls. Analysis of financial statements and their elements: assets, liabilities, stockholders’ equity, revenues, and expenses, as well as ratio analysis. 2116: Emphasis on budgeting and accounting information decision-making. Discusses management accounting and cost concepts. Use of job order costing, cost value profit relationships, variable costing and segment reporting. Creation of external financial reporting documents.",3,Accounting & Information Systems,2000,
ACIS 2116,Principles of Accounting,"Introduction to financial and managerial accounting. 2115: Emphasis on the financial accounting cycle based on professional standards and ethics of US Generally Accepted Accounting Principles (GAAP). Discusses accounting information uses, fraud, and internal controls. Analysis of financial statements and their elements: assets, liabilities, stockholders’ equity, revenues, and expenses, as well as ratio analysis. 2116: Emphasis on budgeting and accounting information decision-making. Discusses management accounting and cost concepts. Use of job order costing, cost value profit relationships, variable costing and segment reporting. Creation of external financial reporting documents.",3,Accounting & Information Systems,2000,ACIS 2115
ACIS 2124,Nonprofit Accounting and Financial Management,"Accounting to support nonprofit companies. Includes, setting up nonprofit accounting records, identifying internal controls, and tax considerations. Nonprofit tracking revenues and expenses, grants, borrowing, payroll, and long-term assets. Emphasis on nonprofit performance evaluation using mathematical models including financial statements, budget variance models, and financial ratios. Use of ethical framework decision-making. Evaluation of government funding sources. No credit will be given for ACIS 2124 if taken with or after ACIS 4124 .",3,Accounting & Information Systems,2000,
ACIS 2504,Introduction to Accounting Analytics,"Design and creation of models used to perform accounting analytics. Cleansing, transformation, organization, analysis, and reporting of accounting data using analytics tools such as spreadsheets, programming, and accounting software applications. Display of accounting data using visualization techniques.",3,Accounting & Information Systems,2000,ACIS 1504
ACIS 2954,Business Study Abroad,This course provides students with an international business experience. The course examines the accounting and information systems issues that impact the multinational business. It is only offered as part of a program outside of the United States. Students will learn from the structured educational experience developed by the faculty leader. Content will vary between semesters. Pre: Instructors consent and the completion of 24 semester hours with a minimum GPA of 3.0 or departmental consent. May be repeated for a maximum of 9 credit hours.,1,Accounting & Information Systems,2000,
