code,title,description,credits,department,level,prereqs
HNFE 4814,Advanced Athletic Injuries,"Medical documentation and administration. Practical experience in locating, identifying, and evaluating anatomic structures Mechanisms of injury and healing process, testing and evaluation of athletic injuries, treatment and rehabilitation of injury to return to play. Not part of an accredited athletic training program.",2,"Human Nutrition, Foods, and Exercise",4000,HNFE 2824 and HNFE 3804
HNFE 4824,Advanced Kinesiology,"Advanced study of human movement during exercise. Integration of biomechanical, anatomical and neuromuscular concepts in the regulation of joint movement associated with exercise, injury and disease.",3,"Human Nutrition, Foods, and Exercise",4000,HNFE 3824 and HNFE 2484
HNFE 4844,Exercise and Neuromuscular Performance,"Functional properties of the neuromuscular system. Emphasis placed on the acute and chronic responses of muscle in exercise, rehabilitation and the factors which determine human performance. Special emphasis on the molecular biological factors responsible for skeletal muscle development and differentiation, as well as adaptation to training and disease states, including activation of signal cascades responsible for the changes in muscle performance.",3,"Human Nutrition, Foods, and Exercise",4000,HNFE 3804 and HNFE 2484
HNFE 5034,Foundations in Nutrition Counseling and Communication,"Foundations in nutrition counseling and communication strategies to facilitate nutrition-related behavior change of individuals. Navigation of nutrition counseling strategies, culturally sensitive and person-centered care, and Registered Dietitian Nutritionist code of ethics and scope of practice guidelines. Documentation strategies according to the nutrition care process. Reflective practice, peer collaboration and professional supervision for a solid foundation of counseling skills. Evidence-based interventions and establishment of strong therapeutic alliances to optimize client engagement, retention and outcomes (2H, 2C).",2,"Human Nutrition, Foods, and Exercise",5000,
HNFE 5064,Clinical Practice in Dietetics,"Application of the Nutrition Care Process systematic framework and standardized terminology (assessment, diagnosis, intervention, monitoring and evaluation) in a hands-on clinical setting. Collaborative communication and evidence-based medical nutrition therapy through supervised practice on a multidisciplinary healthcare team. Culturally sensitive, patient-centered counseling, teaching, and group facilitation. Integration of research and clinical quality improvement strategies related to patient care. Students will be enrolled concurrently in HNFE’s Internship in Nutrition and Dietetics to achieve course objectives through supervised experiential learning in an approved healthcare setting.",4,"Human Nutrition, Foods, and Exercise",5000,
HNFE 5074,Applied Foodservice Management and Dietetics Career Planning,"Application of foodservice management skills through hands-on supervised practice. Menu planning, implementation, and evaluation in a foodservice operation. Integration of emerging research into dietetics practice and food service quality assurance efforts. Dietetics career planning, professional development, networking, and life-long learning strategies. Students will be enrolled concurrently in HNFE’s Internship in Nutrition and Dietetics to achieve course objectives through supervised experiential learning in an approved food and nutrition services setting.",3,"Human Nutrition, Foods, and Exercise",5000,
HNFE 5084,Community Practice in Dietetics,"Application of the Nutrition Care Process framework (assessment, diagnosis, intervention, monitoring and evaluation) through supervised dietetics practice in a community-based setting. Overview of data-driven program planning with measurable objectives for specific target audiences. Development of accessible, audience-centered communication and education tools. Overview of public health programs and policies, including engagement in the legislative process. Students who take this course are enrolled concurrently in HNFE’s Internship in Nutrition and Dietetics to achieve course objectives through supervised experiential learning in an approved community site.",2,"Human Nutrition, Foods, and Exercise",5000,
HNFE 5114G,Advanced Food and Nutritional Toxicology,"Principles of food and nutritional toxicology with primary emphasis on food components and food toxins including absorption, metabolism and excretion. An overview of types of adverse food reactions including food allergy, food sensitivity, and food intolerance. An overview of U.S. and international laws and regulation of safety assessment of foods including food additives, dietary supplements, and residues of contaminants, pesticides, and antibiotics. Analysis of food and nutritional toxicity cases in the context of the food system, regulatory policies, and public communication. Pre: Graduate standing",3,"Human Nutrition, Foods, and Exercise",5000,
HNFE 5124,Dissemination and Implementation Science: Bridging Research and Practice,"Historical, theoretical, process and outcome models to guide the dissemination and implementation of evidence-based interventions in community, clinical, and business (or worksite) settings. Application of conceptual models and methods to leverage systems (including, but not limited to, the resources, mission, values) in order to implement or de- implement interventions. Communication of dissemination key measures and constructs, and how to serve as an applied science team member; especially valuing research-practice partnerships and stakeholder needs and values. Experiential and application focus. Pre: Graduate Standing",3,"Human Nutrition, Foods, and Exercise",5000,
HNFE 5125G,Adv Medical Nutrition Therapy,"Study of nutritional diagnostic, therapeutic and counseling services provided by a registered dietitian. Emphasis on the relationship between principles of nutritional care and the medical treatment of individuals with selected diseases or clinical problems. Pre-requisite: Graduate Standing required",3,"Human Nutrition, Foods, and Exercise",5000,
HNFE 5126G,Adv Medical Nutrition Therapy,"Study of nutritional diagnostic, therapeutric and counseling services provided by a registered dietitian. Integration of knowledge of pathophysiology, biochemical, and clinical parameters, medical treatment and nutrition therapy for patients with selected clinical problems/disease states.",3,"Human Nutrition, Foods, and Exercise",5000,HNFE 5125G
HNFE 5144,Molecular Aspects of Nutrition and Disease,The role of specific nutrients in human and animal health at a physiologic and molecular level. Emphasis is placed on the influence of nutrients on gene expression especially with regard to pathophysiology of diseases. Physiological and molecular aspects of nutrition and immune function will also be discussed.,3,"Human Nutrition, Foods, and Exercise",5000,BCHM 5124 and (ALS 5104 or HNFE 5104)
