major,college,catalog_year,requirement_group,course_code,course_title,credits,notes
Creative Technologies Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 3704,Topics in Computer Animation,3,
Creative Technologies Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 3854,Professional Studio Practices,3,
Creative Technologies Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 4804,New Media Art Theory,3,
Creative Technologies Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 2 - Critical Thinking in the Humanities,ART 2386,Survey of the History of Western Art,3,
Creative Technologies Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,ART 2434,Introduction to Creative Code (5F),3,
Creative Technologies Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ART 1504,Contemporary Art and Practice (6A),3,
Creative Technologies Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ART 1404,Principles of Drawing (6D),3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,ART 1204,Principles of 2D Art and Design,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,ART 1214,Principles of 3D Art and Design,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,ART 2385,Survey of the History of Western Art,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 1304,Gateway to Art and Design,1,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 1604,Principles of 4D Art & Design,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 2514,Drawing Concepts,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 2524,Introduction To Painting,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 2554,Introduction To Sculpture,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 2664,Introduction to Photography,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 3854,Professional Studio Practices,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 2 - Critical Thinking in the Humanities,ART 2386,Survey of the History of Western Art,3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ART 1504,Contemporary Art and Practice (6A),3,
Studio Art Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ART 1404,Principles of Drawing (6D),3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,ART 1204,Principles of 2D Art and Design,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,ART 1214,Principles of 3D Art and Design,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,ART 2385,Survey of the History of Western Art,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 1304,Gateway to Art and Design,1,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 1614,Principles of Visual Communication Design,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 2565,Typography (Graphic Design majors only),3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 2566,Typography,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 2575,Introduction to Graphic Design,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 2576,Introduction to Graphic Design,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 3565,Intermediate Graphic Design I and II,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 3566,Intermediate Graphic Design II,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 3900,Bridge Experience,0,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,ART 4584,Advanced Typography,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 2 - Critical Thinking in the Humanities,ART 2386,Survey of the History of Western Art,3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ART 1404,Principles of Drawing (6A),3,
Graphic Design Major,"College of Architecture, Arts, and Design",2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ART 1604,Principles of 4D Art & Design (6D),3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2404,Creative Collaboration,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2114,Script Analysis,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2134,Acting Lab,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2164,Production Design Lab,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2424,Fundamentals of Directing,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 3106,History of Theatre and Cinema,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Take only one credit for the degree core requirements:,TA 3014,Production Lab (Any production lab counts for this requirement.),1,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 2014,Introduction to Theatre,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 2104,Fundamentals of Theatre and Production,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,CINE 2054,Introduction to Cinema,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,CINE 2064,Cinema Production Foundations,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,CINE 3184,Cinema Production Topics (Nine credits required. 3184 is repeatable for credit under different topics for up to nine hours.),9,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,CINE 3214,Fiction Cinema Production,3,
Cinema Major,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,CINE 3224,Documentary Cinema Production,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2404,Creative Collaboration,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2114,Script Analysis,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2134,Acting Lab,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2164,Production Design Lab,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2424,Fundamentals of Directing,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 3106,History of Theatre and Cinema,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Take only one credit for the degree core requirements:,TA 3014,Production Lab (Any production lab counts for this requirement.),1,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 2014,Introduction to Theatre,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 2174,Costume Design Lab,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 3014,Production Lab (Please take one of each lab listed below. ) Repeatable course up to 9 credits,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Production Run Crew Lab,TA 3105,History of Drama and Theatre,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Design Option Required Courses,TA 2104,Fundamentals of Theatre and Production,3,
Theatre Arts Major with Design Option,"College of Architecture, Arts, and Design",2026-2027,Design Option Required Courses,TA 2414,Stage and Lighting Technology,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2114,Script Analysis,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2134,Acting Lab,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2164,Production Design Lab,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2404,Creative Collaboration,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2424,Fundamentals of Directing,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 3106,History of Theatre and Cinema,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Take only one credit for the degree core requirements:,TA 3014,Production Lab (Any production lab counts for this requirement.),1,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 2014,Introduction to Theatre,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 2174,Costume Design Lab,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 3014,Production Lab (Please take one of each lab listed below.) Repeatable course up to 9 credits,3,
Theatre Arts Major with General Theatre Option,"College of Architecture, Arts, and Design",2026-2027,Production Run Crew Lab,TA 3105,History of Drama and Theatre,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2404,Creative Collaboration,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2114,Script Analysis,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2134,Acting Lab,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2164,Production Design Lab,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 2424,Fundamentals of Directing,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Degree Core Requirements,TA 3106,History of Theatre and Cinema,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Take only one credit for the degree core requirements:,TA 3014,Production Lab (Any production lab counts for this requirement.),1,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 2014,Introduction to Theatre,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 2174,Costume Design Lab,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Major Requirements,TA 3014,Production Lab (Please take one of each lab listed below. ) Repeatable course up to 9 credits,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Production Run Crew Lab,TA 3105,History of Drama and Theatre,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Theatre Performance Option Required Courses,TA 2104,Fundamentals of Theatre and Production,3,
Theatre Arts Major with Performance Option,"College of Architecture, Arts, and Design",2026-2027,Theatre Performance Option Required Courses,TA 2414,Stage and Lighting Technology,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 2014,Statics and Mechanics of Materials,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 2024,Thin-Walled Structures,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 2054,Electronics for Aerospace and Ocean Engineers,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 2074,Data and Algorithms for Aerospace and Ocean Engineers,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 3014,Fluid Dynamics for Aerospace and Ocean Engineers,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 3034,System Dynamics and Control,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,ESM 2304,Dynamics,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,MATH 2114,Introduction to Linear Algebra,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,MATH 2204,Introduction to Multivariable Calculus,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,PHYS 2306,Foundations of Physics,4,
Aerospace Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 2104,Introduction to Aerospace Engineering and Aircraft Performance,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 3114,Aerodynamics & Compressibility,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 3124,Aerospace Structures,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 3134,Air Vehicle Dynamics,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 3154,Astromechanics,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 3164,Aerothermodynamics and Propulsion Systems,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 4105,Experiments for Aerospace Design,1,
Aerospace Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 4106,Experiments for Aerospace Design,1,
Aerospace Engineering Major,College of Engineering,2026-2027,Major Requirements,CS 1064,Introduction to Programming in Python,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Career Bridge Experience,ENGE 3900,Bridge Experience,0,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1F),3,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1F),3,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,AOE 3054,Experimental Methods (1A),3,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics,3,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,CHEM 1035,General Chemistry and General Chemistry Laboratory,4,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,PHYS 2305,Foundations of Physics,4,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1225,Calculus of a Single Variable (5F ; C-),4,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1226,Calculus of a Single Variable (5F),4,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 2214,Introduction to Differential Equations (5A),3,
Aerospace Engineering Major,College of Engineering,2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ENGE 1215,Foundations of Engineering and Foundations of Engineering (6D),4,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 2014,Statics and Mechanics of Materials,3,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 2024,Thin-Walled Structures,3,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 2054,Electronics for Aerospace and Ocean Engineers,3,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 2074,Data and Algorithms for Aerospace and Ocean Engineers,3,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 3014,Fluid Dynamics for Aerospace and Ocean Engineers,3,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,AOE 3034,System Dynamics and Control,3,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,ESM 2304,Dynamics,3,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,MATH 2114,Introduction to Linear Algebra,3,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,MATH 2204,Introduction to Multivariable Calculus,3,
Ocean Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,PHYS 2306,Foundations of Physics,4,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 2204,Introduction to Ocean Engineering,3,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 3214,Ocean Wave Mechanics,3,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 3224,Ocean Structures,3,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 3234,Ocean Vehicle Dynamics,3,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 3264,Thermodynamics and Marine Propulsion,3,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 4205,Experiments for Ocean Vehicle Design,1,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 4206,Experiments for Ocean Vehicle Design,1,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 4265,Ocean Vehicle Design,3,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,AOE 4266,Ocean Vehicle Design,3,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,STAT 4705,Probability and Statistics for Engineers,3,
Ocean Engineering Major,College of Engineering,2026-2027,Major Requirements,CS 1064,Introduction to Programming in Python,3,
Ocean Engineering Major,College of Engineering,2026-2027,Career Bridge Experience,ENGE 3900,Bridge Experience,0,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1F),3,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1F),3,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,AOE 3054,Experimental Methods (1A),3,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics,3,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,CHEM 1035,General Chemistry and General Chemistry Laboratory,4,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,PHYS 2305,Foundations of Physics,4,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1225,Calculus of a Single Variable (5F ; C-),4,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1226,Calculus of a Single Variable (5F),4,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 2214,Introduction to Differential Equations (5A),3,
Ocean Engineering Major,College of Engineering,2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ENGE 1215,Foundations of Engineering and Foundations of Engineering (6D),4,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 2004,Introduction to Biological Systems Engineering (C-),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 2504,Introduction to Fluid Mechanics (C-),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 3144,Engineering Analysis for Biological Systems using Numerical Methods (C-),2,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 3154,Thermodynamics of Biological Systems (C-),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 3504,Transport Processes in Biological Systems (C-),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BSE 4125,Comprehensive Design Project (C-),2,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,BIOL 2604,General Microbiology,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,ESM 2104,Statics,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Degree Core Requirements,ISE 2014,Engineering Economy,2,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Major Requirements,BSE 4126,Comprehensive Design Project (C-),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Major Requirements,BIOL 1105,Principles of Biology,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Major Requirements,BIOL 1106,Principles of Biology,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Major Requirements,CHEM 1036,General Chemistry,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Major Requirements,MATH 2114,Introduction to Linear Algebra,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Major Requirements,MATH 2204,Introduction to Multivariable Calculus,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Major Requirements,PHYS 2306,Foundations of Physics,4,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Major Requirements,STAT 3704,Statistics for Engineering Applications,2,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 3524,Unit Operations in Biological Systems Engineering (C-),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 3534,Bioprocess Engineering (C-),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 4014,Engineering Biology Course-based Research Experience (C-),2,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 4524,Biological Process Plant Design (C-) 1,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Option Required Courses,BSE 4534,Bioprocess Engineering Lab (C-),1,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Option Required Courses,BCHM 3114,Biochemistry for Biotechnology and the Life Sciences,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Option Required Courses,CHEM 2535,Organic Chemistry,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Option Required Courses,CHEM 2536,Organic Chemistry,3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Bridge Experience,ENGE 3900,Bridge Experience,0,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1F),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1F),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ISE 3034,Technical Communication for Engineers (1A),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,CHEM 1035,General Chemistry and General Chemistry Laboratory,4,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,PHYS 2305,Foundations of Physics,4,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1225,Calculus of a Single Variable (5F ; C-),4,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1226,Calculus of a Single Variable (5F),4,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 2214,Introduction to Differential Equations (5A),3,
Biological Systems Engineering Major with Biotechnology & Bioprocess Engineering Option,College of Engineering,2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,ENGE 1215,Foundations of Engineering and Foundations of Engineering (6D),4,
Biological Systems Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BSE 2004,Introduction to Biological Systems Engineering (C-),3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BSE 2504,Introduction to Fluid Mechanics (C-),3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BSE 3144,Engineering Analysis for Biological Systems using Numerical Methods (C-),2,
Biological Systems Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BSE 3154,Thermodynamics of Biological Systems (C-),3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BSE 3504,Transport Processes in Biological Systems (C-),3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BSE 4125,Comprehensive Design Project (C-),2,
Biological Systems Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,BIOL 2604,General Microbiology,3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,ESM 2104,Statics,3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Degree Core Requirements,ISE 2014,Engineering Economy,2,
Biological Systems Engineering Major,College of Engineering,2026-2027,Major Requirements,BSE 4126,Comprehensive Design Project (C-),3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Major Requirements,BIOL 1105,Principles of Biology,3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Major Requirements,BIOL 1106,Principles of Biology,3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Major Requirements,CHEM 1036,General Chemistry,3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Major Requirements,MATH 2114,Introduction to Linear Algebra,3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Major Requirements,MATH 2204,Introduction to Multivariable Calculus,3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Major Requirements,PHYS 2306,Foundations of Physics,4,
Biological Systems Engineering Major,College of Engineering,2026-2027,Major Requirements,STAT 3704,Statistics for Engineering Applications,2,
Biological Systems Engineering Major,College of Engineering,2026-2027,Bridge Experience,ENGE 3900,Bridge Experience,0,
Biological Systems Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1F),3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1F),3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Pathways Concept 1 - Discourse,ISE 3034,Technical Communication for Engineers (1A),3,
Biological Systems Engineering Major,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,CHEM 1035,General Chemistry and General Chemistry Laboratory,4,
Biological Systems Engineering Major,College of Engineering,2026-2027,Pathways Concept 4 - Reasoning in the Natural Sciences,PHYS 2305,Foundations of Physics,4,
Biological Systems Engineering Major,College of Engineering,2026-2027,Pathways Concept 5 - Quantitative and Computational Thinking,MATH 1225,Calculus of a Single Variable (5F ; C-),4,
